candidate_note_3,candidate_note_4,candidate_only_warning,change_categories,change_id,change_type,cycle3_criterion,cycle3_title,cycle4_criterion,cycle4_title,field_name_4,item_path_4,manual_review_required,section_label,section_type,similarity,source_id_3,source_id_4,source_text_3,source_text_4,verification_status,global_match_status,global_candidate_count,review_reason,human_review_status,official_confirmation_needed
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00270,유지,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:003.sub:001,false,근거자료,evidence,1.000,c3__4_4__evidence__현지확인자료:003.sub:001,c4__4_4__evidence__현지확인자료:003.sub:001,"냉・난방시설, 채광, 환기 등","냉·난방시설, 채광, 환기 등",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00271,유지,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:003.sub:002,false,근거자료,evidence,1.000,c3__4_4__evidence__현지확인자료:003.sub:002,c4__4_4__evidence__현지확인자료:003.sub:002,"보안, 안전시설 등","보안, 안전시설 등",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00272,유지,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:004,false,근거자료,evidence,1.000,c3__4_4__evidence__현지확인자료:004,c4__4_4__evidence__현지확인자료:004,실험・실습실 안전 교육・훈련 실시 확인자료,실험·실습실 안전교육·훈련 실시 확인 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 표현 변경: '계열별 실험・실습 기자재 구입 근거 자료: 최근 3년 자료' → '계열별 실험·실습 기자재 구입 근거 자료: 최근 3년 자료(계열별로 구분된 엑셀파일 제출)',,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00273,변경,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:005,false,근거자료,evidence,0.772,c3__4_4__evidence__현지확인자료:005,c4__4_4__evidence__현지확인자료:005,계열별 실험・실습 기자재 구입 근거 자료: 최근 3년 자료,계열별 실험·실습 기자재 구입 근거 자료: 최근 3년 자료(계열별로 구분된 엑셀파일 제출),candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00274,유지,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:006,false,근거자료,evidence,1.000,c3__4_4__evidence__현지확인자료:006,c4__4_4__evidence__현지확인자료:006,실험・실습 기자재 유지・관리 예산 및 집행 실적: 최근 3년 자료,실험·실습 기자재 유지·관리 예산 및 집행 실적: 최근 3년 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00275,유지,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:007,false,근거자료,evidence,1.000,c3__4_4__evidence__현지확인자료:007,c4__4_4__evidence__현지확인자료:007,실험・실습 기자재 목록: 전산 DB로 대체 가능,실험·실습 기자재 목록: 전산 DB로 대체 가능,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00276,유지,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:008,false,근거자료,evidence,1.000,c3__4_4__evidence__현지확인자료:008,c4__4_4__evidence__현지확인자료:008,실험・실습 기자재 관리대장,실험·실습 기자재 관리대장,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 표현 변경: '전공 실험·실습·실기 과목 수업 운영비 실적: 최근 3년 자료' → '전공 실험·실습·실기·설계 과목 수업 운영비 실적: 최근 3년 자료',,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00277,변경,4.4,교육시설,4.4,교육 시설,현지확인자료,현지확인자료:009,false,근거자료,evidence,0.958,c3__4_4__evidence__현지확인자료:009,c4__4_4__evidence__현지확인자료:009,전공 실험·실습·실기 과목 수업 운영비 실적: 최근 3년 자료,전공 실험·실습·실기·설계 과목 수업 운영비 실적: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,시설방문;증빙,chg_00278,유지,4.4,교육시설,4.4,교육 시설,시설방문,시설방문:001,false,근거자료,evidence,1.000,c3__4_4__evidence__시설방문:001,c4__4_4__evidence__시설방문:001,"일반 강의실, 멀티미디어 강의실 일부","일반 강의실, 멀티미디어 강의실 일부",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,시설방문;증빙,chg_00279,유지,4.4,교육시설,4.4,교육 시설,시설방문,시설방문:002,false,근거자료,evidence,1.000,c3__4_4__evidence__시설방문:002,c4__4_4__evidence__시설방문:002,이학 및 공학 실험실 일부,이학 및 공학 실험실 일부,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,시설방문;증빙,chg_00280,유지,4.4,교육시설,4.4,교육 시설,시설방문,시설방문:003,false,근거자료,evidence,1.000,c3__4_4__evidence__시설방문:003,c4__4_4__evidence__시설방문:003,예체능계열 실습실 일부,예체능계열 실습실 일부,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 삭제됨,,Unmatched 3-cycle item requires human deletion/move review.,증빙,chg_00281,삭제후보,4.4,교육시설,4.4,교육 시설,,,true,근거자료,evidence,,c3__4_4__evidence__정보공시:001,,14-라. 교사(校舍)시설 확보 현황,,needs_review,weak_candidate,1,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00282,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,정보공시,정보공시:001,false,근거자료,evidence,1.000,c3__4_5__evidence__정보공시:001,c4__4_5__evidence__정보공시:001,14-마-1. 기숙사 수용 현황,14-마-1. 기숙사 수용 현황,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00283,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,제출자료_관련규정,제출자료_관련규정:001,false,근거자료,evidence,1.000,c3__4_5__evidence__제출자료_관련규정:001,c4__4_5__evidence__제출자료_관련규정:001,학생 복지시설 운영 관련 규정,학생 복지시설 운영 관련 규정,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00284,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지확인자료,현지확인자료:001,false,근거자료,evidence,1.000,c3__4_5__evidence__현지확인자료:001,c4__4_5__evidence__현지확인자료:001,기숙사 부대시설 현황 자료,기숙사 부대시설 현황 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00285,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지확인자료,현지확인자료:002,false,근거자료,evidence,1.000,c3__4_5__evidence__현지확인자료:002,c4__4_5__evidence__현지확인자료:002,학생 복지시설의 운영 현황 자료,학생 복지시설의 운영 현황 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00286,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지확인자료,현지확인자료:002.sub:001,false,근거자료,evidence,1.000,c3__4_5__evidence__현지확인자료:002.sub:001,c4__4_5__evidence__현지확인자료:002.sub:001,시설별 면적 등 관련 자료,시설별 면적 등 관련 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00287,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지확인자료,현지확인자료:002.sub:002,false,근거자료,evidence,1.000,c3__4_5__evidence__현지확인자료:002.sub:002,c4__4_5__evidence__현지확인자료:002.sub:002,학생 복지시설 운영 관리대장,학생 복지시설 운영 관리대장,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00288,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지확인자료,현지확인자료:003,false,근거자료,evidence,1.000,c3__4_5__evidence__현지확인자료:003,c4__4_5__evidence__현지확인자료:003,"기숙사 및 학생 복지시설 별 만족도 조사 결과 및 개선 실적(설문지, 분석 결과, 개선 실적 근거 자료 등): 최근 3년 자료","기숙사 및 학생 복지시설별 만족도 조사 결과 및 개선실적(설문지, 분석 결과, 개선 실적 근거 자료 등): 최근 3년 자료",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,4주기 신규 추가,Change type is heuristic unless verification_status is confirmed.,산식/기준산정;증빙,chg_00289,신설후보,,,4.5,기숙사 및 학생 복지시설,현지확인자료,현지확인자료:004,true,근거자료,evidence,,,c4__4_5__evidence__현지확인자료:004,,(기숙사 수용률(%) 택2 작성시) 기숙사 수용률 산출 근거 자료,needs_review,weak_candidate,1,target_only_new_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00290,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지면담,현지면담:001,false,근거자료,evidence,1.000,c3__4_5__evidence__현지면담:001,c4__4_5__evidence__현지면담:001,"기숙사 관장, 사감","기숙사 관장, 사감",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00291,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지면담,현지면담:002,false,근거자료,evidence,1.000,c3__4_5__evidence__현지면담:002,c4__4_5__evidence__현지면담:002,학생 복지 담당자,학생 복지 담당자,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,면담;범위확장;증빙,chg_00292,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,현지면담,현지면담:003,false,근거자료,evidence,1.000,c3__4_5__evidence__현지면담:003,c4__4_5__evidence__현지면담:003,학생(기숙사생 포함),학생(기숙사생 포함),confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,4주기 신규 추가,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00293,신설후보,,,4.5,기숙사 및 학생 복지시설,현지면담,현지면담:004,true,근거자료,evidence,,,c4__4_5__evidence__현지면담:004,,기숙사,needs_review,strong_candidate,5,target_only_new_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,4주기 신규 추가,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00294,신설후보,,,4.5,기숙사 및 학생 복지시설,현지면담,현지면담:005,true,근거자료,evidence,,,c4__4_5__evidence__현지면담:005,,학생 복지시설,needs_review,strong_candidate,5,target_only_new_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,시설방문;증빙,chg_00295,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,시설방문,시설방문:001,false,근거자료,evidence,1.000,c3__4_5__evidence__시설방문:001,c4__4_5__evidence__시설방문:001,기숙사,기숙사,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,시설방문;증빙,chg_00296,유지,4.5,기숙사 및 복지시설,4.5,기숙사 및 학생 복지시설,시설방문,시설방문:002,false,근거자료,evidence,1.000,c3__4_5__evidence__시설방문:002,c4__4_5__evidence__시설방문:002,학생 복지시설,학생 복지시설,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00297,유지,4.6,도서관,4.6,도서관,현지확인자료,현지확인자료:001,false,근거자료,evidence,1.000,c3__4_6__evidence__현지확인자료:001,c4__4_6__evidence__현지확인자료:001,"도서관 관리 현황 자료: 도서관 이용자 및 대출현황, 정보화시스템 관리 등","도서관 관리 현황 자료: 도서관 이용자 및 대출 현황, 정보화 시스템 관리 등",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 표현 변경: '도서관 직원현황 및 업무분장 표: 겸직여부 포함' → '도서관 직원 현황 및 업무분장표(겸직 여부 포함):최근 3년 자료',,Change type is heuristic unless verification_status is confirmed.,범위확장;실적기간;증빙,chg_00298,변경,4.6,도서관,4.6,도서관,현지확인자료,현지확인자료:002,false,근거자료,evidence,0.864,c3__4_6__evidence__현지확인자료:002,c4__4_6__evidence__현지확인자료:002,도서관 직원현황 및 업무분장 표: 겸직여부 포함,도서관 직원 현황 및 업무분장표(겸직 여부 포함):최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기 4.6에서 '도서관 사서 자격 증빙자료(관련 자격증 등): 최근 3년 자료'로 변경됨 (최근 3년 자료 기간 명시 추가),"3주기 4.6의 '도서관 사서 자격 증빙자료: 관련 자격증 등'에서 변경됨 (최근 3년 자료 기간 명시 추가, 표기 방식 변경)",Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00299,변경,4.6,도서관,4.6,도서관,현지확인자료,현지확인자료:003,false,근거자료,evidence,0.850,c3__4_6__evidence__현지확인자료:003,c4__4_6__evidence__현지확인자료:003,도서관 사서 자격 증빙자료: 관련 자격증 등,도서관 사서 자격 증빙자료(관련 자격증 등): 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기에서 표현 변경: '도서관 공간 활용 증빙자료' → '도서관 공간 활용 증빙자료: 최근 3년 자료',,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00300,변경,4.6,도서관,4.6,도서관,현지확인자료,현지확인자료:004,false,근거자료,evidence,0.786,c3__4_6__evidence__현지확인자료:004,c4__4_6__evidence__현지확인자료:004,도서관 공간 활용 증빙자료,도서관 공간 활용 증빙자료: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기에서 표현 변경: '도서관에서 제공하는 교수・학습 지원 교육활동 목록 및 관련 자료' → '도서관에서 제공하는 교수·학습 지원 교육 활동 목록 및 관련 자료: 최근 3년 자료',,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00301,변경,4.6,도서관,4.6,도서관,현지확인자료,현지확인자료:005,false,근거자료,evidence,0.897,c3__4_6__evidence__현지확인자료:005,c4__4_6__evidence__현지확인자료:005,도서관에서 제공하는 교수・학습 지원 교육활동 목록 및 관련 자료,도서관에서 제공하는 교수·학습 지원 교육 활동 목록 및 관련 자료: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
"4주기에서 표현 변경: '도서관 이용도 만족도 조사 결과 및 개선 실적(설문지, 분석 결과, 개선 실적 근거 자료 등): 최근 3년 자료' → '도서관 이용자 만족도 조사 결과 및 개선 실적(설문지, 분석 결과, 개선 실적 근거 자료 등): 최근 3년 자료'",,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00302,유지,4.6,도서관,4.6,도서관,현지확인자료,현지확인자료:006,true,근거자료,evidence,0.975,c3__4_6__evidence__현지확인자료:006,c4__4_6__evidence__현지확인자료:006,"도서관 이용도 만족도 조사 결과 및 개선 실적(설문지, 분석 결과, 개선 실적 근거 자료 등): 최근 3년 자료","도서관 이용자 만족도 조사 결과 및 개선 실적(설문지, 분석 결과, 개선 실적 근거 자료 등): 최근 3년 자료",needs_review,not_applicable,0,needs_review_status;evidence_or_metric_impact,pending,true
"4주기에서 표현 변경: '《대학도서관 평가결과보고서》' → '《대학도서관 발전계획서》, 《대학도서관 평가결과보고서》'",,Change type is heuristic unless verification_status is confirmed.,증빙,chg_00303,신설후보,4.6,도서관,4.6,도서관,현지확인자료,현지확인자료:007,true,근거자료,evidence,0.706,c3__4_6__evidence__현지확인자료:008,c4__4_6__evidence__현지확인자료:007,《대학도서관 평가결과보고서》,"《대학도서관 발전계획서》, 《대학도서관 평가결과보고서》",needs_review,possible_candidate,2,low_similarity_match;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,면담;증빙,chg_00304,유지,4.6,도서관,4.6,도서관,현지면담,현지면담:001,false,근거자료,evidence,1.000,c3__4_6__evidence__현지면담:001,c4__4_6__evidence__현지면담:001,"도서관 관장, 실무 책임자","도서관 관장, 실무 책임자",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,시설방문;증빙,chg_00305,유지,4.6,도서관,4.6,도서관,시설방문,시설방문:001,false,근거자료,evidence,1.000,c3__4_6__evidence__시설방문:001,c4__4_6__evidence__시설방문:001,중앙도서관,중앙도서관,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 삭제됨,,Unmatched 3-cycle item requires human deletion/move review.,증빙,chg_00306,삭제후보,4.6,도서관,4.6,도서관,,,true,근거자료,evidence,,c3__4_6__evidence__현지확인자료:007,,《대학도서관 발전계획서》,,needs_review,possible_candidate,4,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00307,유지,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,items,item:1,false,보고서 주요 내용,report,1.000,c3__1_1__report__item:1,c4__1_1__report__item:1,교육이념-교육목적-교육목표의 체계(도),교육이념-교육목적-교육목표의 체계(도),confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,,chg_00308,유지,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,items,item:2,false,보고서 주요 내용,report,1.000,c3__1_1__report__item:2,c4__1_1__report__item:2,교육목적-교육목표-인재상의 연계성,교육목적-교육목표-인재상의 연계성,confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,범위확장;실적기간;증빙,chg_00309,신설후보,1.2,발전계획,1.1,교육목표 및 발전계획,items,item:3,true,보고서 주요 내용,report,0.681,c3__1_2__report__item:1,c4__1_1__report__item:3,대학 장단기 발전계획(특성화계획 포함)의 수립과정 및 내용: 최근 3년 자료,대학 중장기 발전계획의 수립과정 및 내용,needs_review,weak_candidate,5,low_similarity_match;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,범위확장;실적기간;증빙,chg_00310,변경,1.2,발전계획,1.1,교육목표 및 발전계획,items,item:4,false,보고서 주요 내용,report,0.809,c3__1_2__report__item:2,c4__1_1__report__item:4,대학 장단기 발전계획(특성화계획 포함)의 추진 실적: 최근 3년 자료,대학 중장기 발전계획의 추진 실적: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기 1.5 item3으로 이동,,Unmatched 3-cycle item requires human deletion/move review.,,chg_00311,이동후보,1.1,교육목표 및 인재상,1.1,교육목표 및 발전계획,,,true,보고서 주요 내용,report,,c3__1_1__report__item:3,,인재상에 부합하는 학생학습성과 관리 및 운영 체계,,needs_review,weak_candidate,3,source_only_delete_or_move_review;needs_review_status,pending,true
4주기 1.4로 흡수,,Unmatched 3-cycle item requires human deletion/move review.,범위확장;실적기간;증빙,chg_00312,삭제/이동후보,1.2,발전계획,1.1,교육목표 및 발전계획,,,true,보고서 주요 내용,report,,c3__1_2__report__item:3,,대학 장단기 발전계획(특성화계획 포함)의 평가결과와 반영 실적: 최근 3년 자료,,needs_review,weak_candidate,5,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00313,유지,1.3,거버넌스,1.2,거버넌스와 감사,items,item:1,false,보고서 주요 내용,report,1.000,c3__1_3__report__item:1,c4__1_2__report__item:1,대학 의사결정구조 구축 및 운영 현황: 최근 3년 자료,대학 의사결정구조 구축 및 운영 현황: 최근 3년 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 item3과 통합되어 '추진과 환류실적'으로 변경,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00314,변경,1.3,거버넌스,1.2,거버넌스와 감사,items,item:2,false,보고서 주요 내용,report,0.945,c3__1_3__report__item:2,c4__1_2__report__item:2,대학 구성원 참여와 소통을 위한 체계 및 추진 실적: 최근 3년 자료,대학 구성원 참여와 소통을 위한 체계 및 추진과 환류실적: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,범위확장;실적기간;증빙,chg_00315,유지,1.6,감사,1.2,거버넌스와 감사,items,item:3,false,보고서 주요 내용,report,1.000,c3__1_6__report__item:1,c4__1_2__report__item:3,대학 자체감사를 포함한 내·외부 감사제도 운영 현황: 최근 3년 자료,대학 자체감사를 포함한 내·외부 감사제도 운영 현황: 최근 3년 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00316,유지,1.6,감사,1.2,거버넌스와 감사,items,item:4,false,보고서 주요 내용,report,1.000,c3__1_6__report__item:2,c4__1_2__report__item:4,감사 결과 반영 실적: 최근 3년 자료,감사 결과 반영 실적: 최근 3년 자료,confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 '감사 결과 공개 실적'으로 간소화,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00317,변경,1.6,감사,1.2,거버넌스와 감사,items,item:5,false,보고서 주요 내용,report,0.727,c3__1_6__report__item:3,c4__1_2__report__item:5,감사 결과 공개 방법 및 공개 범위: 최근 3년 자료,감사 결과 공개 실적: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기에서 '현황 및 운영 실적: 최근 3년 자료'로 확장,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00318,변경,1.6,감사,1.2,거버넌스와 감사,items,item:6,false,보고서 주요 내용,report,0.766,c3__1_6__report__item:4,c4__1_2__report__item:6,공익제보 절차 및 공익제보자 보호 제도 현황,공익제보 절차 및 공익제보자 보호 제도 현황 및 운영 실적: 최근 3년 자료,candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기에서 item2와 통합,,Unmatched 3-cycle item requires human deletion/move review.,실적기간;증빙,chg_00319,삭제/이동후보,1.3,거버넌스,1.2,거버넌스와 감사,,,true,보고서 주요 내용,report,,c3__1_3__report__item:3,,대학 구성원 참여와 소통에 대한 개선 실적: 최근 3년 자료,,needs_review,possible_candidate,5,source_only_delete_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,기준값/정량;산식/기준산정;실적기간;증빙,chg_00320,유지,1.4,재정 확보,1.3,재정 확보 및 집행,items,item:1,false,보고서 주요 내용,report,1.000,c3__1_4__report__item:1,c4__1_3__report__item:1,"세입 중 등록금 비율: 최근 3년 자료, 최근 3년간 평균(기준값: 72% 이하)","세입 중 등록금 비율: 최근 3년 자료, 최근 3년간 평균(기준값: 72% 이하)",confirmed,not_applicable,0,evidence_or_metric_impact,not_required,false
4주기에서 기준값 0.5%→0.4%로 변경,,Change type is heuristic unless verification_status is confirmed.,기준값/정량;산식/기준산정;실적기간;증빙,chg_00321,변경,1.4,재정 확보,1.3,재정 확보 및 집행,items,item:2,false,보고서 주요 내용,report,0.962,c3__1_4__report__item:2,c4__1_3__report__item:2,"세입 중 기부금 비율: 최근 3년 자료, 최근 3년간 평균(기준값: 0.5%)","세입 중 기부금 비율: 최근 3년 자료, 최근 3년간 평균(기준값: 0.4%)",candidate,not_applicable,0,candidate_status;evidence_or_metric_impact,pending,true
4주기에서 '법인 책무성(사립대학)' 항목으로 확대(3가지 방식 중 택1),,Change type is heuristic unless verification_status is confirmed.,기준값/정량;산식/기준산정;실적기간;증빙,chg_00322,신설후보,1.4,재정 확보,1.3,재정 확보 및 집행,items,item:3,true,보고서 주요 내용,report,0.535,c3__1_4__report__item:3,c4__1_3__report__item:3,"세입 중 법인전입금 비율(사립대): 최근 3년 자료, 최근 3년간 평균(기준값: 0.4%)","법인 책무성(사립대학): 최근 3년 자료, 최근 3년간 평균 【양식 1.3-3】, 【양식 1.3-4】, 【양식 1.3-5】 중 택1",needs_review,weak_candidate,5,low_similarity_match;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,기준값/정량;산식/기준산정,chg_00323,신설후보,,,1.3,재정 확보 및 집행,sub_items,item:3.sub:001,true,보고서 주요 내용,report,,,c4__1_3__report__item:3.sub:001,,세입 중 법인전입금 비율: (법인전입금(원) / 운영수입(원)) * 100(기준값: 0.4%),needs_review,weak_candidate,2,target_only_new_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,기준값/정량,chg_00324,신설후보,,,1.3,재정 확보 및 집행,sub_items,item:3.sub:002,true,보고서 주요 내용,report,,,c4__1_3__report__item:3.sub:002,,법정부담금 부담률: (법정부담금 부담액(원) / 법정부담금 기준액(원)) * 100(기준값: 10%),needs_review,no_candidate,0,target_only_new_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,기준값/정량;산식/기준산정,chg_00325,신설후보,,,1.3,재정 확보 및 집행,sub_items,item:3.sub:003,true,보고서 주요 내용,report,,,c4__1_3__report__item:3.sub:003,,법인 재정규모 대비 법인전입금 비율: (법인전입금(원) / 법인 일반회계 재정규모(원)) * 100(기준값: 10%),needs_review,no_candidate,0,target_only_new_or_move_review;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00326,유지,1.4,재정 확보,1.3,재정 확보 및 집행,items,item:4,false,보고서 주요 내용,report,1.000,c3__1_4__report__item:4,c4__1_3__report__item:4,"재정 확보 노력: 재원의 다양성, 재원 확충의 지속가능성 등","재정 확보 노력: 재원의 다양성, 재원 확충의 지속가능성 등",confirmed,not_applicable,0,no_manual_review_trigger,not_required,false
,,Change type is heuristic unless verification_status is confirmed.,기준값/정량;범위축소;산식/기준산정;실적기간;증빙,chg_00327,유지,1.5,재정 집행,1.3,재정 확보 및 집행,items,item:5,true,보고서 주요 내용,report,1.000,c3__1_5__report__item:1,c4__1_3__report__item:5,"교육비 환원율: 최근 3년 자료, 최근 3년간 평균 ※ 총교육비 산출 시 국가장학금 I유형, 다자녀 국가장학금은 제외함(기준값: 110%)","교육비 환원율: 최근 3년 자료, 최근 3년간 평균 ※ 총 교육비 산출시 국가장학금 I유형, 다자녀 국가장학금은 제외함(기준값: 110%)",needs_review,not_applicable,0,manual_complex_nm_criterion;needs_review_status;evidence_or_metric_impact,pending,true
,,Change type is heuristic unless verification_status is confirmed.,,chg_00328,유지,1.5,재정 집행,1.3,재정 확보 및 집행,items,item:6,true,보고서 주요 내용,report,1.000,c3__1_5__report__item:2,c4__1_3__report__item:6,예산 편성 및 집행의 절차와 방법,예산 편성 및 집행의 절차와 방법,needs_review,not_applicable,0,manual_complex_nm_criterion;needs_review_status,pending,true
,,Change type is heuristic unless verification_status is confirmed.,실적기간;증빙,chg_00329,유지,1.5,재정 집행,1.3,재정 확보 및 집행,items,item:7,true,보고서 주요 내용,report,1.000,c3__1_5__report__item:3,c4__1_3__report__item:7,예산 집행 실적: 최근 3년 자료,예산 집행 실적: 최근 3년 자료,needs_review,not_applicable,0,manual_complex_nm_criterion;needs_review_status;evidence_or_metric_impact,pending,true
